epoch,batch,d_loss_real,d_loss_fake,g_loss
1.0,1.0,0.8609541058540344,0.82010418176651,0.6930281519889832
1.0,2.0,0.7038591504096985,0.7621786594390869,0.6715077757835388
1.0,3.0,0.8065927624702454,0.7537665367126465,0.6519063115119934
1.0,4.0,0.7688435912132263,0.7712095379829407,0.6343637108802795
1.0,5.0,0.7499756217002869,0.8190668821334839,0.6154704689979553
1.0,6.0,0.7483905553817749,0.7561736702919006,0.5947076678276062
1.0,7.0,0.7802336812019348,0.7891600131988525,0.5783859491348267
1.0,8.0,0.7337186336517334,0.7330018877983093,0.5585154294967651
1.0,9.0,0.6843128204345703,0.7811110019683838,0.5363687872886658
1.0,10.0,0.7536583542823792,0.7497190237045288,0.5159718990325928
1.0,11.0,0.7160699367523193,0.7694097757339478,0.49623343348503113
1.0,12.0,0.7403585314750671,0.744633138179779,0.48033884167671204
1.0,13.0,0.6393823027610779,0.7456994652748108,0.46267223358154297
1.0,14.0,0.7004460692405701,0.7390899062156677,0.4379437267780304
1.0,15.0,0.6514537334442139,0.7805911898612976,0.42999690771102905
1.0,16.0,0.7341963648796082,0.7183017730712891,0.4126002788543701
1.0,17.0,0.7146360874176025,0.7292414903640747,0.39425450563430786
1.0,18.0,0.7060194611549377,0.697391152381897,0.3836861848831177
1.0,19.0,0.7072427868843079,0.7570107579231262,0.3772762715816498
1.0,20.0,0.7296688556671143,0.7561408877372742,0.362483948469162
1.0,21.0,0.6199649572372437,0.7039940357208252,0.3523097336292267
1.0,22.0,0.6693066358566284,0.7572410702705383,0.3400738537311554
1.0,23.0,0.6114205718040466,0.719612181186676,0.33352410793304443
1.0,24.0,0.6232361197471619,0.7430475354194641,0.33135074377059937
1.0,25.0,0.552367627620697,0.7027402520179749,0.33573368191719055
1.0,26.0,0.636448860168457,0.7291619777679443,0.33834996819496155
1.0,27.0,0.6878371238708496,0.7187678813934326,0.33655914664268494
1.0,28.0,0.630446195602417,0.7343528270721436,0.33718258142471313
1.0,29.0,0.5650467872619629,0.7100726366043091,0.33125099539756775
1.0,30.0,0.6427526473999023,0.705287754535675,0.3349091112613678
1.0,31.0,0.7113736867904663,0.6812499761581421,0.3239211440086365
1.0,32.0,0.6674168705940247,0.7131850719451904,0.32208290696144104
1.0,33.0,0.6773781180381775,0.7192543745040894,0.31492674350738525
1.0,34.0,0.6621196269989014,0.6761820316314697,0.31560397148132324
1.0,35.0,0.6388280391693115,0.7091770768165588,0.30157068371772766
1.0,36.0,0.6843863725662231,0.6688646674156189,0.32432711124420166
1.0,37.0,0.6556670069694519,0.6912037134170532,0.31631091237068176
1.0,38.0,0.5711286664009094,0.6969351768493652,0.31455013155937195
1.0,39.0,0.6089414954185486,0.6752366423606873,0.3141154944896698
1.0,40.0,0.673777163028717,0.6876111626625061,0.3018828332424164
1.0,41.0,0.6407376527786255,0.6602768898010254,0.29300087690353394
1.0,42.0,0.7303525805473328,0.6731671094894409,0.2866039276123047
1.0,43.0,0.6575899720191956,0.7245480418205261,0.2824203073978424
1.0,44.0,0.6278015971183777,0.6795215606689453,0.2787148058414459
1.0,45.0,0.606778621673584,0.685235857963562,0.27204328775405884
1.0,46.0,0.6638216972351074,0.6830300688743591,0.27998802065849304
1.0,47.0,0.667633056640625,0.6993944048881531,0.2832547724246979
1.0,48.0,0.6179870367050171,0.6364139318466187,0.2871270775794983
1.0,49.0,0.7195419073104858,0.6737359166145325,0.2804671823978424
1.0,50.0,0.5751022696495056,0.6724743843078613,0.25945770740509033
1.0,51.0,0.7033554315567017,0.6638389825820923,0.26703688502311707
1.0,52.0,0.6363459825515747,0.6262144446372986,0.28308767080307007
1.0,53.0,0.538403332233429,0.6509308815002441,0.2793528139591217
1.0,54.0,0.7018531560897827,0.6403225660324097,0.28119683265686035
1.0,55.0,0.6567278504371643,0.625188410282135,0.28107917308807373
1.0,56.0,0.6941178441047668,0.6549680829048157,0.2933446168899536
1.0,57.0,0.666835606098175,0.6460821628570557,0.2737399637699127
1.0,58.0,0.77926105260849,0.6598876714706421,0.2648979127407074
1.0,59.0,0.646405041217804,0.6405165791511536,0.2875196635723114
1.0,60.0,0.5735765695571899,0.6624422669410706,0.2865365445613861
1.0,61.0,0.6649330258369446,0.6093530058860779,0.30448782444000244
1.0,62.0,0.5977849364280701,0.6385600566864014,0.27618885040283203
1.0,63.0,0.5929216146469116,0.631255030632019,0.27207809686660767
1.0,64.0,0.6569175124168396,0.6596167683601379,0.26325663924217224
1.0,65.0,0.6532570719718933,0.6256533861160278,0.2855982780456543
1.0,66.0,0.5481661558151245,0.6488847136497498,0.28441935777664185
1.0,67.0,0.5642505884170532,0.6450015306472778,0.30370065569877625
1.0,68.0,0.5820813775062561,0.6180450320243835,0.29690253734588623
1.0,69.0,0.5157529711723328,0.6037693023681641,0.2905431091785431
1.0,70.0,0.5427200198173523,0.6168334484100342,0.2922011613845825
1.0,71.0,0.6044059991836548,0.6297852396965027,0.2977391481399536
1.0,72.0,0.45214951038360596,0.6283110976219177,0.2941681444644928
1.0,73.0,0.6044067144393921,0.6508002877235413,0.27720293402671814
1.0,74.0,0.6320976614952087,0.6103810667991638,0.2734227180480957
1.0,75.0,0.5882126092910767,0.6041303277015686,0.2850562632083893
1.0,76.0,0.6421488523483276,0.6545273065567017,0.2838975489139557
1.0,77.0,0.598762035369873,0.6044483184814453,0.27719905972480774
1.0,78.0,0.7492039203643799,0.5921324491500854,0.25419244170188904
1.0,79.0,0.682744026184082,0.5926852822303772,0.25633591413497925
1.0,80.0,0.49410873651504517,0.6077640056610107,0.24007481336593628
1.0,81.0,0.5200713872909546,0.6115062236785889,0.24830509722232819
1.0,82.0,0.5105966925621033,0.5995851755142212,0.24146047234535217
1.0,83.0,0.46381011605262756,0.6260351538658142,0.24179677665233612
1.0,84.0,0.590674638748169,0.5972485542297363,0.24201077222824097
1.0,85.0,0.6183905601501465,0.6163390278816223,0.24347752332687378
1.0,86.0,0.523023247718811,0.5926765203475952,0.24541009962558746
1.0,87.0,0.704591691493988,0.5883340239524841,0.25556328892707825
1.0,88.0,0.6585566997528076,0.5955069065093994,0.22451919317245483
1.0,89.0,0.5394835472106934,0.5598212480545044,0.21571871638298035
1.0,90.0,0.5566692352294922,0.5877008438110352,0.22150669991970062
1.0,91.0,0.6952301263809204,0.6099814176559448,0.2234446257352829
1.0,92.0,0.7396330833435059,0.584713876247406,0.22289445996284485
1.0,93.0,0.4730103015899658,0.5680981874465942,0.2162509709596634
1.0,94.0,0.5569034218788147,0.5509777665138245,0.23666168749332428
1.0,95.0,0.7696422338485718,0.5722204446792603,0.22923459112644196
1.0,96.0,0.611685574054718,0.5436527132987976,0.19811436533927917
1.0,97.0,0.6341043710708618,0.5851809978485107,0.19378286600112915
1.0,98.0,0.7510136961936951,0.5839848518371582,0.2042088806629181
1.0,99.0,0.4963510036468506,0.5855989456176758,0.2125190794467926
1.0,100.0,0.652164101600647,0.5671745538711548,0.21765169501304626
1.0,101.0,0.6160522699356079,0.5870955586433411,0.20834597945213318
1.0,102.0,0.6015720367431641,0.5480771660804749,0.19129306077957153
1.0,103.0,0.4672684669494629,0.577984094619751,0.18115457892417908
1.0,104.0,0.8291109204292297,0.5456037521362305,0.19557614624500275
1.0,105.0,0.5377988219261169,0.5491541624069214,0.19000691175460815
1.0,106.0,0.4641800820827484,0.5528236031532288,0.2115810066461563
1.0,107.0,0.6775787472724915,0.5692145824432373,0.20117130875587463
